               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.033678,            0.011424,           0.0014935,             0.85485,             0.91334,              0.9239,             0.53888,            0.023696,           0.0079946,          0.00094462,           0.0091406,           0.0091406,           0.0091406
                  62,            0.033135,            0.010879,           0.0013414,             0.92549,             0.90674,             0.94291,               0.598,            0.021945,           0.0080882,           0.0009087,           0.0091127,           0.0091127,           0.0091127
                  63,            0.033653,            0.011275,           0.0013813,              0.8761,             0.92679,             0.92713,             0.59786,            0.022924,           0.0079344,           0.0010315,           0.0090844,           0.0090844,           0.0090844
                  64,            0.032864,            0.010853,           0.0013313,             0.86677,              0.9417,             0.94968,             0.54541,            0.023165,           0.0080972,          0.00094911,           0.0090557,           0.0090557,           0.0090557
                  65,            0.029973,             0.01094,           0.0013324,             0.87943,             0.91384,             0.93979,             0.61867,            0.021591,           0.0079199,          0.00097549,           0.0090266,           0.0090266,           0.0090266
                  66,            0.031187,            0.010804,           0.0012596,             0.90651,             0.92927,             0.94752,             0.50493,            0.024234,           0.0077474,           0.0008851,           0.0089972,           0.0089972,           0.0089972
                  67,            0.032934,            0.011444,           0.0012355,             0.85235,             0.86303,              0.9072,             0.57615,             0.02357,           0.0080948,           0.0010286,           0.0089673,           0.0089673,           0.0089673
                  68,            0.029582,            0.010907,           0.0011875,              0.8548,             0.91526,             0.93807,             0.62423,            0.021692,           0.0079382,           0.0010729,           0.0089371,           0.0089371,           0.0089371
                  69,            0.032016,            0.011086,           0.0011907,             0.89644,             0.91705,              0.9475,             0.60363,            0.021557,           0.0077835,           0.0010394,           0.0089065,           0.0089065,           0.0089065
                  70,            0.030935,             0.01076,           0.0012488,             0.91796,             0.92653,             0.95674,             0.60272,             0.02197,           0.0078145,          0.00083897,           0.0088755,           0.0088755,           0.0088755
                  71,            0.029021,             0.01103,           0.0011852,             0.87072,              0.9022,             0.93873,             0.61407,            0.020916,           0.0076906,          0.00080756,           0.0088442,           0.0088442,           0.0088442
                  72,            0.029892,            0.010952,           0.0011492,             0.90012,             0.95115,             0.95983,             0.62655,            0.020883,           0.0075838,          0.00073707,           0.0088124,           0.0088124,           0.0088124
                  73,            0.029461,            0.011006,           0.0010367,             0.90342,             0.93703,             0.95423,             0.63219,            0.021153,           0.0077637,          0.00079217,           0.0087804,           0.0087804,           0.0087804
                  74,            0.027647,            0.010263,           0.0014064,             0.88591,             0.90301,             0.94752,             0.61432,            0.021968,           0.0076858,          0.00077018,           0.0087479,           0.0087479,           0.0087479
                  75,            0.029355,            0.010231,           0.0010537,             0.90744,             0.95208,             0.96354,               0.647,             0.02052,           0.0077478,          0.00080185,           0.0087151,           0.0087151,           0.0087151
                  76,            0.028447,           0.0097936,           0.0010505,             0.87254,             0.92917,             0.95086,             0.60475,            0.021357,           0.0077783,          0.00082469,            0.008682,            0.008682,            0.008682
